date,session,week,exercise,code,detail
2026-06-29,Push,3,Machine Shoulder Press,reps_below_range,top set at 4 reps against a 6-10 range
2026-06-30,Legs,3,Lying Leg Curl,reps_below_range,top set at 6 reps against a 8-12 range
2026-07-02,Cardio+Abs,3,Cable Crunch,rpe_under_target,"top set at RPE8 in week 3, which targets RPE9"
2026-07-02,Cardio+Abs,3,Cable Crunch,backoff_rpe_under_target,"back-off at RPE7 in week 3, which targets RPE8"
2026-07-02,Cardio+Abs,3,Cable Crunch,set_count,1 working set(s) against a template of 3
2026-07-02,Cardio+Abs,3,Hanging Knee Raise,rpe_under_target,"top set at RPE8 in week 3, which targets RPE9"
2026-07-02,Cardio+Abs,3,Hanging Knee Raise,backoff_rpe_under_target,"back-off at RPE7 in week 3, which targets RPE8"
2026-07-02,Cardio+Abs,3,Pallof Press,rpe_under_target,"top set at RPE7 in week 3, which targets RPE9"
2026-07-02,Cardio+Abs,3,Pallof Press,backoff_rpe_under_target,"back-off at RPE7 in week 3, which targets RPE8"
2026-07-02,Cardio+Abs,3,Pallof Press,set_count,1 working set(s) against a template of 2
2026-07-04,Push,4,Machine Shoulder Press,set_count,2 working set(s) against a template of 3
2026-07-04,Push,4,Tricep Pushdown,set_count,2 working set(s) against a template of 3
2026-07-08,Pull,1,Incline DB Curl,reps_below_range,top set at 6 reps against a 8-12 range
2026-07-08,Pull,1,Hammer Curl,reps_below_range,top set at 6 reps against a 8-12 range
2026-07-08,Pull,1,Hammer Curl,set_count,2 working set(s) against a template of 3
2026-07-08,Pull,1,Machine Bicep Curl,reps_below_range,top set at 6 reps against a 8-12 range
2026-07-09,Push,1,Cable Lateral Raise,set_count,2 working set(s) against a template of 3
2026-07-10,Legs,1,Lying Leg Curl,reps_below_range,top set at 4 reps against a 8-12 range
2026-07-10,Legs,1,Single Leg Sumo Press,set_count,2 working set(s) against a template of 3
2026-07-11,Cardio+Abs,1,Hanging Leg Raises,rpe_under_target,"top set at RPE7 in week 1, which targets RPE8"
2026-07-11,Cardio+Abs,1,Pallof Press,rpe_under_target,"top set at RPE7 in week 1, which targets RPE8"
2026-07-11,Cardio+Abs,1,Ab Wheel Rollout,rpe_under_target,"top set at RPE7 in week 1, which targets RPE8"
2026-07-13,Pull,1,Machine Bicep Curl,set_count,2 working set(s) against a template of 3
2026-07-14,Push,3,Machine Shoulder Press,set_count,2 working set(s) against a template of 3
2026-07-14,Push,3,Tricep Pushdown,set_count,2 working set(s) against a template of 3
2026-07-21,Legs,3,Lying Leg Curl,reps_below_range,top set at 5 reps against a 8-12 range
